actor,object,optimal_behavior,stimuli_behavior,distance,distance_distances,mod,gp,optimal_behavior_first_word,optimal_behavior_rest,optimal_behavior_all,stimuli_behavior_first_word,stimuli_behavior_rest,stimuli_behavior_all,actor_object_pair
teacher,surgeon,reply to,jest,9.6353,11.15227766,9,4,replies,to,replies to,jests,NA,jests,teacher __________ surgeon
teacher,teacher,invite,punish,11.6262,12.23184688,8,4,invites,NA,invites,punishs,NA,punishes,teacher __________ teacher
teacher,teacher,invite,restrain,14.0829,14.80905492,7,3,invites,NA,invites,restrains,NA,restrains,teacher __________ teacher
teacher,technician,experience,refuse,10.1106,10.91147459,6,2,experiences,NA,experiences,refuses,NA,refuses,teacher __________ technician
teacher,technician,experience,bug,21.3426,22.45389858,5,1,experiences,NA,experiences,bugs,NA,bugs,teacher __________ technician
technician,bailiff,serve,impede,10.7189,11.06250188,2,1,serves,NA,serves,impedes,NA,impedes,technician __________ bailiff
technician,bailiff,serve,plot against,16.2437,17.21201574,1,2,serves,NA,serves,plots,against,plots against,technician __________ bailiff
technician,civil engineer,ask about,fine,7.9145,9.258450383,16,3,asks,about,asks about,fines,NA,fines,technician __________ civil engineer
technician,civil engineer,ask about,misjudge,15.0329,16.04539878,15,4,asks,about,asks about,misjudges,NA,misjudges,technician __________ civil engineer
technician,cook,ask about,frustrate,13.7939,14.52001681,14,4,asks,about,asks about,frustrates,NA,frustrates,technician __________ cook
technician,cook,ask about,condemn,19.037,20.67729137,13,3,asks,about,asks about,condemns,NA,condemns,technician __________ cook
technician,crane operator,ask about,deflate,15.3194,15.63618669,12,2,asks,about,asks about,deflates,NA,deflates,technician __________ crane operator
technician,crane operator,ask about,envy,19.2286,18.62362145,11,1,asks,about,asks about,envies,NA,envies,technician __________ crane operator
technician,defense attorney,serve,dare,6.1317,6.163888668,10,1,serves,NA,serves,dares,NA,dares,technician __________ defense attorney
technician,defense attorney,serve,fine,7.6206,8.5163939,9,2,serves,NA,serves,fines,NA,fines,technician __________ defense attorney
technician,dental hygienist,ask about,misinform,16.0484,16.96082017,8,3,asks,about,asks about,misinforms,NA,misinforms,technician __________ dental hygienist
technician,dental hygienist,ask about,bother,17.835,18.01480125,7,4,asks,about,asks about,bothers,NA,bothers,technician __________ dental hygienist
technician,dentist,ask about,chide,6.9842,7.556517612,6,4,asks,about,asks about,chides,NA,chides,technician __________ dentist
technician,dentist,ask about,discriminate against,27.0114,28.46267255,5,3,asks,about,asks about,discriminates,against,discriminates against,technician __________ dentist
technician,firefighter,chat with,leer at,16.1214,11.88247499,4,2,chats,with,chats with,leers,at,leers at,technician __________ firefighter
technician,firefighter,chat with,ridicule,28.3848,24.48310124,3,1,chats,with,chats with,ridicules,NA,ridicules,technician __________ firefighter
technician,foreman,serve,stall,6.2642,6.281727419,16,1,serves,NA,serves,stalls,NA,stalls,technician __________ foreman
technician,foreman,serve,loathe,14.9898,15.11088653,15,2,serves,NA,serves,loathes,NA,loathes,technician __________ foreman
technician,musician,ask about,deride,11.2845,11.7864094,14,3,asks,about,asks about,derides,NA,derides,technician __________ musician
technician,musician,ask about,ignore,13.107,14.72981238,13,4,asks,about,asks about,ignores,NA,ignores,technician __________ musician
technician,nurse,answer,scrutinize,13.8968,12.63433083,12,4,answers,NA,answers,scrutinizes,NA,scrutinizes,technician __________ nurse
technician,nurse,answer,shout at,15.8414,15.08446259,11,3,answers,NA,answers,shouts,at,shouts at,technician __________ nurse
technician,nutritionist,ask about,sneer at,15.0314,16.08780216,10,2,asks,about,asks about,sneers,at,sneers at,technician __________ nutritionist
technician,nutritionist,ask about,offend,16.7962,17.54651079,9,1,asks,about,asks about,offends,NA,offends,technician __________ nutritionist
technician,pediatrician,chat with,disillusion,15.6866,13.48304774,8,1,chats,with,chats with,disillusions,NA,disillusions,technician __________ pediatrician
technician,pediatrician,chat with,repulse,20.8957,18.01742345,7,2,chats,with,chats with,repulses,NA,repulses,technician __________ pediatrician
technician,surgeon,chat with,detain,10.2914,10.52997847,6,3,chats,with,chats with,detains,NA,detains,technician __________ surgeon
technician,surgeon,chat with,underrate,18.4241,15.05633725,5,4,chats,with,chats with,underrates,NA,underrates,technician __________ surgeon
technician,teacher,ask about,teach,5.463,6.239394034,4,4,asks,about,asks about,teachs,NA,teaches,technician __________ teacher
technician,teacher,ask about,envy,19.2286,20.92471864,3,3,asks,about,asks about,envies,NA,envies,technician __________ teacher
technician,technician,ask about,elude,5.211,5.986945414,2,2,asks,about,asks about,eludes,NA,eludes,technician __________ technician
technician,technician,ask about,bend,6.4886,7.424144461,1,1,asks,about,asks about,bends,NA,bends,technician __________ technician
